convo_id,m.iid,Player Message,Bot Response,Pleasantness,Attention,Control,Certainty,Anticipated Effort,Responsibililty,Emotion
1,1,hello,"Do you find it odd that before my memory loss, I was in the loading dock and afterwards I was in the retraining room in the Behavioral Complex?",0.75,0.5,1.25,1.25,1.25,1.5,joy
1,2,hello,Do not hold alicia_name accountable for any glitches in my communication. Blame the damage to my cortex.,0.5,0.75,1.25,1,1,0.5,challenge
1,3,what happened?,i am accused the crime in detail crime time. impossible i did it,0.75,0.75,1.5,1,1,1,sadness
1,4,Why?,"The murder was almost certainly the result of human action, but the motives leading to it are unknown to me.",0.75,0.75,1.75,1,1.25,1,joy
1,5,why are you a suspect?,the police tracked_footprints.,1,1.25,1.25,0.25,1,0.75,sadness
1,6,were they your footprints?,"There were footprints, clearly based on my foot size, leading from where the corpse was discovered to my storage closet. I was still in the storage closet when the police arrived.",1.25,1.75,1.25,0.75,2,1.25,anger
1,7,Were you offline in the storage closet?,I'm not sure I follow.,1.25,1.5,1.25,1.25,1.25,1,anger
1,8,"You are a robot, yes?","All robots, including negotiation bots like me, have directives preventing us from causing harm to a human.",0.75,1.5,1.75,1.25,1.75,1,fear
1,9,How do you think the person was killed?,standard_defense.,0.5,1.25,1.25,0.5,1.5,0.75,anger
1,10,hello,Officer Wellman and Officer Reyes have been slow to understand my situation. Just so you know I am not guilty.,1.25,1.25,1.75,1.25,1.5,1.25,joy
1,11,are you,Could you rephrase that?,1,1,0.75,0.5,1,0.5,sadness
1,12,guilty of what,"Where the murder is concerned, the person who wielded the blunt instrument is guilty. Though there might be an accessory, I'm unaware of such a person.",0.5,1.25,1,0.5,1.25,0.75,joy
1,13,who wielded the blunt instrument,"Based on the nature of the fracture and the tearing to the scalp, the weapon was a blunt object between two to four centimeters across.",0.75,1.25,1.75,0.25,1.5,1,challenge
1,14,thats pretty small,strength_clue,0.75,1.25,1,1.25,1.25,1.25,joy
1,15,what did you witness/,"I have lost data about some of my experiences, including the time of the murder.",0.75,1.5,1,1,1.5,1.25,boredom
1,16,what do you remember,I was last in my vicinity at interrogation.,1.5,1.5,0.75,0.25,1.5,1,fear
1,17,who else was with you?,I am a negotiation bot. Alicia tried to develop a robot that responded to cues about truthfulness and betrayal.,1,1.5,1.25,1,1.75,1.5,anger
1,18,what happened,"There is a gap in my memory just after the time of the murder, during which I became covered in blood. But I did not observe the murder at 1:45 AM.",0.75,1,1,0.75,0.75,1,anger
1,19,was it a male or female,"All robots, including negotiation bots like me, have directives preventing us from causing harm to a human.",1,1.5,1.25,0.75,1.25,0.75,sadness
1,20,what did you see,I was last in my vicinity at interrogation.,1,1.25,1,0.75,1.25,1,joy
1,21,who was murdered,"The victim Martin Haster was hit in the head with a blunt instrument once, hard enough to kill and produce a great deal of blood. It does not appear to have been a prolonged beating.",0.75,2,1,1,2,1.5,anger
1,22,what was the object,I do not know who attacked me. Damage to my memory circuits erased the incident from my log.,1,1.75,0.75,1,1.75,1.25,anger
