id,emotion1,emotion2,emotion3,fleiss_kappa
3,challenge,frustration,anger,0.366883116883117
8,joy,joy,anger,0.08333333333333313
10,joy,fear,fear,0.21511627906976735
12,joy,joy,challenge,0.44148936170212755
13,sadness,boredom,frustration,0.1666666666666666
14,joy,joy,joy,0.1101694915254239
19,frustration,joy,challenge,0.127906976744186
21,joy,joy,challenge,0.3283582089552239
23,frustration,challenge,anger,0.030898876404494336
25,frustration,anger,frustration,0.017857142857142825
26,joy,challenge,joy,0.2830882352941179
27,challenge,frustration,sadness,0.10720000000000003
29,joy,anger,anger,0.15625000000000003
40,fear,sadness,joy,0.003164556962025258
42,fear,fear,joy,0.010989010989011026
43,challenge,anger,joy,0.1267123287671234
46,joy,joy,boredom,0.20212765957446804
51,boredom,joy,challenge,0.03963414634146344
52,challenge,anger,joy,0.05172413793103446
55,boredom,sadness,fear,0.0026595744680850573
58,boredom,boredom,frustration,0.04166666666666662
60,challenge,sadness,sadness,0.06249999999999989
61,frustration,sadness,anger,0.39814814814814825
62,challenge,sadness,anger,0.2941176470588235
63,challenge,challenge,joy,0.10825688073394489
64,frustration,frustration,anger,0.0060240963855421326
67,sadness,fear,boredom,0.005970149253731363
69,joy,challenge,joy,0.3008474576271187
72,frustration,challenge,boredom,0.16176470588235295
73,joy,challenge,challenge,0.09274193548387095
84,boredom,joy,anger,0.2682926829268292
86,frustration,joy,anger,0.2058823529411766
89,anger,sadness,joy,0.029411764705882287
94,joy,anger,anger,0.010989010989011026
100,frustration,frustration,joy,0.0735294117647058
101,sadness,boredom,boredom,0.12337662337662345
102,joy,challenge,frustration,0.17682926829268283
105,joy,joy,anger,0.2605633802816901
106,anger,joy,anger,0.03716216216216215
109,challenge,joy,anger,0.17682926829268292
112,joy,joy,joy,0.027777777777777044
113,boredom,challenge,boredom,0.027777777777777728
117,boredom,boredom,frustration,0.07407407407407401
121,joy,fear,anger,0.09482758620689652
122,joy,joy,sadness,8.326672684688673e-17
124,anger,joy,joy,0.019230769230769166
125,joy,challenge,anger,0.08571428571428577
130,frustration,anger,challenge,0.1176470588235294
131,challenge,frustration,joy,0.05120481927710839
133,frustration,sadness,challenge,0.2592592592592593
134,joy,frustration,challenge,0.05120481927710839
135,challenge,frustration,boredom,0.008620689655172362
140,challenge,frustration,anger,0.05172413793103446
143,joy,frustration,challenge,0.030898876404494336
148,joy,challenge,anger,0.0735294117647058
149,challenge,challenge,frustration,0.0259740259740259
150,challenge,boredom,joy,0.29054054054054046
151,frustration,frustration,challenge,0.05120481927710839
152,joy,anger,joy,0.05063291139240499
153,challenge,anger,frustration,0.08571428571428577
155,joy,challenge,joy,0.062499999999999965
158,boredom,fear,challenge,0.2319277108433734
160,anger,challenge,challenge,0.02941176470588236
161,joy,joy,challenge,0.39516129032258057
163,challenge,joy,boredom,0.22256097560975616
164,frustration,frustration,challenge,0.25
168,boredom,joy,challenge,0.23076923076923064
195,challenge,joy,challenge,0.20212765957446804
218,anger,challenge,joy,0.05172413793103446
250,challenge,frustration,challenge,0.07142857142857138
253,challenge,frustration,sadness,0.14156626506024098
262,joy,joy,challenge,0.7222222222222223
263,joy,challenge,challenge,0.03571428571428571
271,joy,joy,sadness,0.08536585365853659
289,joy,joy,sadness,0.523809523809524
318,anger,sadness,challenge,0.1379310344827586
321,joy,sadness,sadness,0.0735294117647058
