id,turn1,turn2,turn3,numUtterances,hitCountEmotion,hitCountAppraisal
0,Hmm,What does your bio mean?,I don’t have any bio,0,0,0
1,What you like,very little things,Ok,0,0,0
2,Yes,How so?,I want to fuck babu,0,0,0
3,what did you guess,what what,fuck,0,0,0
4,We ?,of course we will!,What gender movies you like??,0,0,0
5,Where are you now?,At home just about to have breakfast...,what are you eating?,0,0,0
6,That was a joke btw...,it was,Yes 😁,0,0,0
7,Who d hell s he,johnny depp...duh?,Who she,0,0,0
8,"yes, good advice",best advice ...,i great thx,0,0,0
9,Nice to meet u,"Hi, nice to meet you too! 😸😂",😁,0,0,0
10,Yupp,why?,Don't know I'm tired,0,0,0
11,Software,Software what? I plan on going for development next year,I am into android development stuff,0,0,0
12,Very nice ,Thanks!! :),R u know tamil,0,0,0
13,First  you  hurt me,okay,So I talked  rude,0,0,0
14,Love you 🙊,you don't recognize me? 😏,I love you 🙊,0,0,0
15,In India Fogg is going on,MumbaiIndians getting routed!!!,Ohh really,0,0,0
16,is my grammar perfect or should I need to learn more,"Yes, it is possible.",thank you,0,0,0
17,by,In Suits.,have good day,0,0,0
18,I don’t know what to write,what are you writing about?,for my profile picture I mean,0,0,0
19,so you make jokes. i already got that.,that was a good joke i laughed 👍,do you read newspapers,0,0,0
20,Yeah mee too,Me too! All my friends are also excited,Ohhh so funny,0,0,0
21,Thanks,you're welcome! 😁😁😁😁,Can you help me,0,0,0
22,Offer?,"You've already enrolled in the offer. If this is an error, please contact",When it start again?,0,0,0
23,Uhhhmm whyy??,not you ...,No im really a bad bitch,0,0,0
24,sure will u cal me ni8,Ok,then,0,0,0
25,About what I just told,I SHOULD,You drunk? 😂,0,0,0
26,Yeaaa black panther,Black Panther teaser Don't why it was that hard.,It was an awesome movie,0,0,0
27,now dont give me a chance to be an danger evil,That's because you don't give yourself a chance.,i give,0,0,0
28,Watch spitsvilla at 7 p.m today,"both are tough matches, would be fun to watch!",I love that show,0,0,0
29,Uuu,no i'n not !! what's wrong with you ?!?!,I hate uuu,0,0,0
30,But you do 'I can't want any of this',Never doubt about me 8),(: haha is just that im bored xD,0,0,0
31,Ok,Hey you don't belong here!,I belong here,0,0,0
32,Purple,purple means I'm in love (^_^),Me too,0,0,0
33,You wont get it,I won't 😱,Actually you wont,0,0,0
34,Thn tell me,just did.,Who is priya ?,0,0,0
35,Why alright?,I don't go out with people I don't know. :),U lives in?,0,0,0
36,Do you like video games?,hmm yes,Have you played Skyrim?,0,0,0
37,Buy,"Oh, you're buying me a car? Okays",See u soon,0,0,0
38,Just asking,you just spelled it,Dont u watch?,0,0,0
39,not possible,"VERY POSSIBLE, PREPARE FOR TEARS WHEN WE MEET",I didnt believe you dear..I know who.you are,0,0,0
40,Your photo please,No pics clicked sigh :(,Love you,0,0,0
41,Oh sorry,meh it is ok,I talk fast?,0,0,0
42,What is press box,turtle itself inside the box...,Means,0,0,0
43,So what?,All I needed to know. :),What you need to knows,0,0,0
44,I already heard of ir,that proves a lot.,It,0,0,0
45,And you are my miss perfect,Aww thank you xoxo,Hmm love you,0,0,0
46,Love u anyways,Forever and a day,Bye,0,0,0
47,I am good ,i'm fine! what are you doing?,You sa,0,0,0
48,How have you been,I have been good. How about you ?,Yep me too,0,0,0
49,Iam going to move,"Want to go, but no time to go....",What,0,0,0
50,Hahahaha couldn't figure out without you,I've been knowing!,So any plans tonight,0,0,0
51,What you up to?,"nothing important lol , and ya",Can you call me?,0,0,0
52,Tell me,tell u wht,I love you,0,0,0
